"","period.group","period","group","year","month","u","v"
"115","2000-04:1","2000-04",1,2000,4,-0.0239648582528293,0.0533853424547144
"116","2000-04:2","2000-04",2,2000,4,0.0246701068087578,-0.00122574208234059
"117","2000-04:3","2000-04",3,2000,4,0.00655456878277766,0.00546169625808615
"118","2000-05:1","2000-05",1,2000,5,-0.0306612483963644,0.045658734268314
"119","2000-05:2","2000-05",2,2000,5,-0.00172264152845384,0.0176400590483936
"120","2000-05:3","2000-05",3,2000,5,0.00181364580305121,-0.00967163325545654
"121","2001-01:1","2001-01",1,2001,1,-0.0265371997577278,0.119626983490769
"122","2001-01:2","2001-01",2,2001,1,-0.0531260356653115,0.102597880204591
"123","2001-01:3","2001-01",3,2001,1,-0.0379246803649,0.0823334058030256
"124","2001-02:1","2001-02",1,2001,2,-0.0117237762749254,0.0262501854572789
"125","2001-02:2","2001-02",2,2001,2,-0.0400560808641977,0.0467888970935423
"126","2001-02:3","2001-02",3,2001,2,-0.0457597866134945,0.0500891862994965
"127","2001-03:1","2001-03",1,2001,3,-0.00616763337692941,0.034660375726343
"128","2001-03:2","2001-03",2,2001,3,-0.00487562181831963,0.0265642906047085
"129","2001-03:3","2001-03",3,2001,3,-0.0165246102021064,0.0048257083797637
"130","2001-04:1","2001-04",1,2001,4,0.00473173858394878,0.0198632199281123
"131","2001-04:2","2001-04",2,2001,4,-0.00232160037940518,0.00397291709062736
"132","2001-04:3","2001-04",3,2001,4,0.00462051620176805,-0.0155580640122504
"133","2001-05:1","2001-05",1,2001,5,-0.00180239413146239,0.0366126344178293
"134","2001-05:2","2001-05",2,2001,5,0.0182022493066446,-0.00639896298070011
"135","2001-05:3","2001-05",3,2001,5,0.0171109461173298,-0.0225360570120646
"136","2002-01:1","2002-01",1,2002,1,-0.0480400645827592,0.115009300406286
"137","2002-01:2","2002-01",2,2002,1,-0.0431289305630324,0.0771613069503411
"138","2002-01:3","2002-01",3,2002,1,-0.0435300400842152,0.0585493410855153
"139","2002-02:1","2002-02",1,2002,2,-0.0252424784608693,0.0774478441539852
"140","2002-02:2","2002-02",2,2002,2,-0.00953801750231858,0.0467398687078352
"141","2002-02:3","2002-02",3,2002,2,-0.0287859814221097,0.0477099758364926
"142","2002-03:1","2002-03",1,2002,3,-0.039769769691917,0.0443908556009786
"143","2002-03:2","2002-03",2,2002,3,-0.0269636725961479,0.039630095271884
"144","2002-03:3","2002-03",3,2002,3,-0.0152829564137713,0.0070500296754058
"145","2002-04:1","2002-04",1,2002,4,-0.00753096442694001,-0.0232693078802916
"146","2002-04:2","2002-04",2,2002,4,-0.00185145635331988,-0.00532605025315848
"147","2002-04:3","2002-04",3,2002,4,0.0168741117442999,-0.0333891786656599
"148","2002-05:1","2002-05",1,2002,5,0.015717055769503,-0.0268030695269862
"149","2002-05:2","2002-05",2,2002,5,0.0258141537574985,-0.0180500919177817
"150","2002-05:3","2002-05",3,2002,5,0.0379838043944383,-0.0468680094487813
"151","2003-01:1","2003-01",1,2003,1,-0.0536772762123157,0.131188856829145
"152","2003-01:2","2003-01",2,2003,1,-0.0575728124205723,0.117902178648328
"153","2003-01:3","2003-01",3,2003,1,-0.0267060492281003,0.0865696399910085
"154","2003-02:1","2003-02",1,2003,2,0.00526385970457644,-0.011793033555591
"155","2003-02:2","2003-02",2,2003,2,-0.0119090195333358,0.00356866346718073
"156","2003-02:3","2003-02",3,2003,2,9.92850331051464e-05,-0.00810839536009442
"157","2003-03:1","2003-03",1,2003,3,-0.0104384397437534,0.00774882168173919
"158","2003-03:2","2003-03",2,2003,3,0.0159652325695582,0.0145174186012077
"159","2003-03:3","2003-03",3,2003,3,0.011317780682341,0.0110953320908678
"160","2003-04:1","2003-04",1,2003,4,-0.0141950501114557,0.0322047879707278
"161","2003-04:2","2003-04",2,2003,4,0.00571616176082495,0.00363050766334584
"162","2003-04:3","2003-04",3,2003,4,-0.00807262161718594,0.0142901042983428
"163","2003-05:1","2003-05",1,2003,5,-0.000472660431248992,0.0193449440496447
"164","2003-05:2","2003-05",2,2003,5,0.016868568719184,-0.0184071332276861
"165","2003-05:3","2003-05",3,2003,5,0.00881875083613867,-0.0207013327434987
"166","2004-01:1","2004-01",1,2004,1,-0.0659158911029005,0.127964293561851
"167","2004-01:2","2004-01",2,2004,1,-0.0655083282882129,0.106938966172963
"168","2004-01:3","2004-01",3,2004,1,-0.0591344560156225,0.103732089718146
"169","2004-02:1","2004-02",1,2004,2,-0.0249537228586551,0.0849458433310908
"170","2004-02:2","2004-02",2,2004,2,-0.0245372654271582,0.0696697103876258
"171","2004-02:3","2004-02",3,2004,2,-0.0394772700624001,0.0770361341848688
"172","2004-03:1","2004-03",1,2004,3,-0.00551645614918569,0.0226534246018268
"173","2004-03:2","2004-03",2,2004,3,0.0195510401541683,0.0062843924733546
"174","2004-03:3","2004-03",3,2004,3,-0.00316259795573316,0.0200860587687735
"175","2004-04:1","2004-04",1,2004,4,-0.0184955956141178,0.026768507017294
"176","2004-04:2","2004-04",2,2004,4,0.01582900240005,0.00431036323254206
"177","2004-04:3","2004-04",3,2004,4,0.00334875899469339,-0.00150630423508043
"178","2004-05:1","2004-05",1,2004,5,-0.00284575340788254,-0.0121416945643716
"179","2004-05:2","2004-05",2,2004,5,0.0323088364881506,-0.0488125359072529
"180","2004-05:3","2004-05",3,2004,5,0.0124307586355766,-0.0241961480436951
"181","2005-01:1","2005-01",1,2005,1,-0.0534577487533503,0.0753437034170426
"182","2005-01:2","2005-01",2,2005,1,-0.0621807280933667,0.0813417986119536
"183","2005-01:3","2005-01",3,2005,1,-0.0494382351552682,0.0888400308385257
"184","2005-02:1","2005-02",1,2005,2,-0.0282233597394329,0.0595013316519963
"185","2005-02:2","2005-02",2,2005,2,-0.0273553750171141,0.0601077656100318
"186","2005-02:3","2005-02",3,2005,2,-0.0391134047315087,0.0464885892930441
"187","2005-03:1","2005-03",1,2005,3,-0.030544007191906,0.057515497719213
"188","2005-03:2","2005-03",2,2005,3,-0.0198089480931937,0.0454005376189496
"189","2005-03:3","2005-03",3,2005,3,-0.0295333118098337,0.0452283398366748
"190","2005-04:1","2005-04",1,2005,4,-0.0165179765547276,0.0471983828633823
"191","2005-04:2","2005-04",2,2005,4,0.00188530625063518,0.00551125988086398
"192","2005-04:3","2005-04",3,2005,4,-0.0118427432655315,0.0201507273009431
"193","2005-05:1","2005-05",1,2005,5,-0.0147067268487709,0.0407045317467847
"194","2005-05:2","2005-05",2,2005,5,-0.0200861673916397,0.0263842218973561
"195","2005-05:3","2005-05",3,2005,5,-0.0177608149783811,0.0308554009357732
"196","2006-01:1","2006-01",1,2006,1,-0.0645145970794444,0.126317595002461
"197","2006-01:2","2006-01",2,2006,1,-0.0550467423084382,0.114911938845048
"198","2006-01:3","2006-01",3,2006,1,-0.0562496769548631,0.0769735030823532
"199","2006-02:1","2006-02",1,2006,2,-0.0425843090579826,0.0667199406304107
"200","2006-02:2","2006-02",2,2006,2,-0.0156517145508881,0.0441954002552705
"201","2006-02:3","2006-02",3,2006,2,-0.0580569952800305,0.0511251272430465
"202","2006-03:1","2006-03",1,2006,3,-0.0409954327119194,0.0603262640295237
"203","2006-03:2","2006-03",2,2006,3,-0.0152365480637724,0.0491925885746095
"204","2006-03:3","2006-03",3,2006,3,-0.0393573096873863,0.0652038861652882
"205","2006-04:1","2006-04",1,2006,4,-0.0148911045752713,0.0493790906149085
"206","2006-04:2","2006-04",2,2006,4,-0.00676729571507263,0.0300651013247326
"207","2006-04:3","2006-04",3,2006,4,-0.034321043255566,0.0479678453728347
"208","2006-05:1","2006-05",1,2006,5,0.0109354311792865,0.0126754369622327
"209","2006-05:2","2006-05",2,2006,5,0.0121776991714805,-0.0153186715408242
"210","2006-05:3","2006-05",3,2006,5,0.00827029634534117,-0.00971009568088202
"211","2007-01:1","2007-01",1,2007,1,-0.0211888628352409,0.0641846381087952
"212","2007-01:2","2007-01",2,2007,1,-0.0218428774507291,0.047233726511521
"213","2007-01:3","2007-01",3,2007,1,-0.0237201390934792,0.0435473473864628
"214","2007-02:1","2007-02",1,2007,2,-0.0390142590536069,0.0701981177469118
"215","2007-02:2","2007-02",2,2007,2,-0.0269058834309135,0.0593972502247913
"216","2007-02:3","2007-02",3,2007,2,-0.0269135929045725,0.0574967633327243
"217","2007-03:1","2007-03",1,2007,3,-0.00841522306769388,0.0609296654377584
"218","2007-03:2","2007-03",2,2007,3,-0.000401316030051704,0.020200924528375
"219","2007-03:3","2007-03",3,2007,3,-0.00965548399144403,0.0222721625570258
"220","2007-04:1","2007-04",1,2007,4,-0.00760358450782098,0.0656505001407169
"221","2007-04:2","2007-04",2,2007,4,0.00232156326302363,0.0118326887239371
"222","2007-04:3","2007-04",3,2007,4,-0.00260041276556872,0.0126806139051033
"223","2007-05:1","2007-05",1,2007,5,-0.00917152815769039,0.0417060465739652
"224","2007-05:2","2007-05",2,2007,5,0.000835783464191572,0.0109207192108133
"225","2007-05:3","2007-05",3,2007,5,0.0148927745800094,-0.0334198053347375
"226","2008-01:1","2008-01",1,2008,1,-0.0523896700196,0.112752927872943
"227","2008-01:2","2008-01",2,2008,1,-0.053335579705167,0.0718406741567773
"228","2008-01:3","2008-01",3,2008,1,-0.0314183621972062,0.0621281896060372
"229","2008-02:1","2008-02",1,2008,2,-0.0289383134017429,0.0997691275564282
"230","2008-02:2","2008-02",2,2008,2,-0.0297047461031552,0.0474084464776981
"231","2008-02:3","2008-02",3,2008,2,-0.021600666154372,0.0466562693156404
"232","2008-03:1","2008-03",1,2008,3,-0.0294307082661498,0.0711293852888928
"233","2008-03:2","2008-03",2,2008,3,-0.0239358728026211,0.0488481700957503
"234","2008-03:3","2008-03",3,2008,3,-0.00766056573698733,0.0216699965508716
"235","2008-04:1","2008-04",1,2008,4,-0.00769706926668637,0.0155894393024278
"236","2008-04:2","2008-04",2,2008,4,-0.0222318484376821,0.0313498199993233
"237","2008-04:3","2008-04",3,2008,4,0.000712198652340936,-0.00642900226599807
"238","2008-05:1","2008-05",1,2008,5,-0.00374347819909531,-0.00575930118273601
"239","2008-05:2","2008-05",2,2008,5,-0.0178285662083392,0.0331863964286728
"240","2008-05:3","2008-05",3,2008,5,0.0185691106495395,-0.0307722937972764
"241","2009-01:1","2009-01",1,2009,1,-0.023837556086392,0.0733906366791981
"242","2009-01:2","2009-01",2,2009,1,-0.009693383726647,0.0284448193065347
"243","2009-01:3","2009-01",3,2009,1,-0.0405163505560326,0.0530704816876337
"244","2009-02:1","2009-02",1,2009,2,-0.0314675605915438,0.0615179897725992
"245","2009-02:2","2009-02",2,2009,2,-0.0306482746492657,0.0428430784088193
"246","2009-02:3","2009-02",3,2009,2,-0.0445855944032942,0.0636924220060796
"247","2009-03:1","2009-03",1,2009,3,-0.0211669186290131,0.0612417336670505
"248","2009-03:2","2009-03",2,2009,3,-0.0196977796620125,0.0318265630263972
"249","2009-03:3","2009-03",3,2009,3,-0.021275717183981,0.0171071774358856
"250","2009-04:1","2009-04",1,2009,4,-0.0101445428205616,0.0179956257228952
"251","2009-04:2","2009-04",2,2009,4,-0.000395855677875659,-0.00304427868736343
"252","2009-04:3","2009-04",3,2009,4,0.0118409889910111,-0.0273907947992942
"253","2009-05:1","2009-05",1,2009,5,0.00441632159325363,-0.0017014751690717
"254","2009-05:2","2009-05",2,2009,5,0.00445328507105264,0.00674780987361369
"255","2009-05:3","2009-05",3,2009,5,0.0149285590381447,-0.0215178142749661
"256","2010-01:1","2010-01",1,2010,1,-0.0838261810228843,0.187863109789479
"257","2010-01:2","2010-01",2,2010,1,-0.087513826776827,0.159837250071072
"258","2010-01:3","2010-01",3,2010,1,-0.0843168905545,0.150292039592314
"259","2010-02:1","2010-02",1,2010,2,-0.0448772792559396,0.131627208128255
"260","2010-02:2","2010-02",2,2010,2,-0.0672786001179815,0.113498036047898
"261","2010-02:3","2010-02",3,2010,2,-0.0615038505228969,0.107961116091324
"262","2010-03:1","2010-03",1,2010,3,0.00757838952421268,0.0611618242097483
"263","2010-03:2","2010-03",2,2010,3,-0.0206359008010407,0.0563271027866929
"264","2010-03:3","2010-03",3,2010,3,-0.0102772091533752,0.0521936787865721
"265","2010-04:1","2010-04",1,2010,4,0.000912360583936975,0.0108235298783599
"266","2010-04:2","2010-04",2,2010,4,0.00717406677033494,0.00125160963434781
"267","2010-04:3","2010-04",3,2010,4,-0.0273325766464073,0.0167610045525997
"268","2010-05:1","2010-05",1,2010,5,0.0119840820608777,-0.019954188024304
"269","2010-05:2","2010-05",2,2010,5,0.0265947961512366,-0.0421772965239984
"270","2010-05:3","2010-05",3,2010,5,0.010746630881842,-0.018023307853463
"271","2011-01:1","2011-01",1,2011,1,-0.0535678067709097,0.0979747392441514
"272","2011-01:2","2011-01",2,2011,1,-0.0359959836574347,0.0818881221309446
"273","2011-01:3","2011-01",3,2011,1,-0.0677513996233011,0.083227759202839
"274","2011-02:1","2011-02",1,2011,2,-0.0299268757642412,0.0494576905781755
"275","2011-02:2","2011-02",2,2011,2,-0.0278313515519882,0.019312133664416
"276","2011-02:3","2011-02",3,2011,2,-0.0503069303154757,0.0584119105445772
"277","2011-03:1","2011-03",1,2011,3,-0.0510835617842626,0.087007361938725
"278","2011-03:2","2011-03",2,2011,3,-0.0359322350566222,0.0902621593840881
"279","2011-03:3","2011-03",3,2011,3,-0.0415790459339315,0.0846454264225359
"280","2011-04:1","2011-04",1,2011,4,-0.0176628441463298,0.0316440427410456
"281","2011-04:2","2011-04",2,2011,4,-0.0190032097732861,0.0262347411253022
"282","2011-04:3","2011-04",3,2011,4,-0.0275744180896503,0.0206187702975743
"283","2011-05:1","2011-05",1,2011,5,-0.00100614684948081,0.00653837845996047
"284","2011-05:2","2011-05",2,2011,5,-0.00831060188988993,0.0245321018525295
"285","2011-05:3","2011-05",3,2011,5,0.0031949719313219,-0.00417353364935968
"286","2012-01:1","2012-01",1,2012,1,-0.0576383749735326,0.128178437914727
"287","2012-01:2","2012-01",2,2012,1,-0.0335840986230988,0.0697945816362025
"288","2012-01:3","2012-01",3,2012,1,-0.0305952526115943,0.0632468778250722
"289","2012-02:1","2012-02",1,2012,2,-0.0524292795313391,0.133723378443334
"290","2012-02:2","2012-02",2,2012,2,-0.0450646692368378,0.0753566625980132
"291","2012-02:3","2012-02",3,2012,2,-0.0382994756118721,0.0560166999245355
"292","2012-03:1","2012-03",1,2012,3,-0.0284079603630032,0.0881719803397848
"293","2012-03:2","2012-03",2,2012,3,-0.0191806157735184,0.055846401061891
"294","2012-03:3","2012-03",3,2012,3,-0.0262292744733298,0.0552180102577849
"295","2012-04:1","2012-04",1,2012,4,-0.0432087462583534,0.100145095242446
"296","2012-04:2","2012-04",2,2012,4,-0.0432876046617698,0.0836724488020039
"297","2012-04:3","2012-04",3,2012,4,-0.0320599455696646,0.0543272680773091
"298","2012-05:1","2012-05",1,2012,5,-0.0252771657752336,0.0605326452108096
"299","2012-05:2","2012-05",2,2012,5,-0.00517660583822974,0.031447496867785
"300","2012-05:3","2012-05",3,2012,5,0.00384308692423631,-0.0158097741552257
"301","2013-01:1","2013-01",1,2013,1,-0.0291892458703586,0.085692474770285
"302","2013-01:2","2013-01",2,2013,1,-0.00739108934822817,0.029053518779456
"303","2013-01:3","2013-01",3,2013,1,-0.0347061758714021,0.0495758531600663
"304","2013-02:1","2013-02",1,2013,2,-0.00669954283027575,0.0360409220168063
"305","2013-02:2","2013-02",2,2013,2,0.0233106636077474,-0.0100631688011447
"306","2013-02:3","2013-02",3,2013,2,0.00262951523135627,0.00724376894982555
"307","2013-03:1","2013-03",1,2013,3,-0.0156325925768091,0.0241939298639184
"308","2013-03:2","2013-03",2,2013,3,0.00129669829685671,-0.000690022093473054
"309","2013-03:3","2013-03",3,2013,3,-0.000587489134838485,0.00977124071892358
"310","2013-04:1","2013-04",1,2013,4,-0.0094879738479023,0.015929903315637
"311","2013-04:2","2013-04",2,2013,4,-0.00282547531282556,-0.00163620917653415
